"id","y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
1,30.26,45.56,-1,58.6,11.62,7.36,17.07,60,8.02,20.23,-2.86,"a3",18.69,"G",17.2,18.2,41.56,"B",48.86
2,316.96,45.5,-0.51,61,20.13,6.24,17,55,6.36,28.04,-3.7,"a3",27.92,"H",17.2,18.2,41.43,"D",48.73
3,203.67,45.4,-0.64,62.2,27.09,5.04,17,56,5.96,42.18,2.16,"a5",10.23,"I",17.13,18.1,41.29,"A",48.59
4,54.72,45.4,-0.99,61.9,31.22,7.44,17,58,8.44,48.52,0.46,"a4",38.58,"D",17.2,18.1,41.23,"D",48.59
5,33.55,45.29,-0.99,60.6,14.12,6.32,17,56,7.6,24.56,-1.11,"a5",25.91,"E",17.13,18.1,41.2,"C",48.59
6,33.76,45.29,-0.93,62.9,10.15,7.44,17,54,7.77,17.11,-1.13,"a5",17.78,"J",17.1,18.1,41.2,"B",48.59
7,243.61,45.29,-0.54,61.3,17.88,5.18,17,57,7,25.2,-0.18,"a5",30.33,"H",17.17,18.1,41.4,"D",48.59
8,224.97,45.29,-0.62,61.2,16.68,5.66,17,57,6.67,22.59,-1.57,"a5",15.32,"F",17.25,18.1,42.72,"B",48.59
9,254.45,45.33,-0.59,60.5,19.86,6.27,16.89,57,7.17,29.62,-1.26,"a5",17.28,"F",17.96,18.03,46.16,"B",48.67
10,24.94,45.34,-1,61.6,19.57,6.75,16.89,57,7.59,33.09,-0.31,"a5",19.06,"G",17.96,18.1,45.53,"B",49.19
11,61.33,45.29,-0.94,60.4,14.38,7.4,16.89,58,7.3,24.3,-2.46,"a3",24.88,"E",17.76,18.23,44.27,"C",49.63
12,20.84,45.2,-0.96,60.7,7.56,7.85,16.89,57,7.71,11.92,-0.84,"a5",17.01,"F",17.67,18.53,43.16,"B",50.2
13,121.51,45.2,-0.75,61.1,12.05,6.26,16.89,58,7.58,14.71,-5.03,"a3",16.33,"D",17.6,18.67,42.69,"B",50.26
14,380.23,45.13,-0.51,62.6,NA,NA,NA,59,7.17,31.88,-1.15,"a4",17.18,"H",NA,18.73,42.33,"B",50.23
15,160.13,45.06,-0.79,63.2,14.82,6.52,16.89,57,7.01,21.17,-5.16,"a2",23.12,"D",17.63,18.89,43.63,"C",50.16
16,25.23,45,-0.92,59.8,18.85,8.17,16.89,59.1,9.12,32.05,0.34,"a3",31.16,"E",17.76,18.96,43.63,"C",50.03
17,197.43,44.9,-0.59,59.8,15.72,4.87,16.89,62,6.81,21.33,-0.69,"a4",15.52,"E",17.79,19.07,43.4,"B",49.7
18,120.77,44.79,-0.76,60.9,14.41,5.85,16.89,56,7.08,22.27,-1.36,"a5",16.63,"E",17.89,19.13,43.79,"B",49.63
19,37.2,44.79,-0.96,62.6,8.55,7.17,16.89,58,9.24,12.87,-2.22,"a5",29.3,"I",17.89,19.2,43.79,"C",49.43
20,292.4,44.59,-0.54,62.2,17.86,5.3,16.82,56,7.39,20.96,-1.54,"a5",8.66,"J",17.79,19.29,43.4,"A",49.16
21,44.05,44.59,-1,61.6,18.74,8.21,16.89,57,7.83,31.65,2.4,"a5",27.22,"H",17.79,19.39,43.03,"C",48.86
22,100.91,44.52,-0.91,65,15.59,7.12,16.89,59,7.25,25.42,-4.91,"a1",24.71,"G",17.79,19.39,42.76,"C",48.86
23,18.52,44.43,-0.55,61.2,14.24,8.14,16.82,57,8.31,25.1,1.66,"a5",19.84,"I",17.79,19.34,42.63,"B",48.95
24,177.78,44.5,-0.64,60.3,32.39,4.89,16.89,58,7.04,49.47,2.11,"a4",18.85,"E",17.7,19.29,42.63,"B",49.23
25,126.58,44.5,-0.81,62.8,17.65,5.77,16.89,56,5.79,28.53,-2.5,"a3",14.8,"H",17.7,19.36,42.76,"B",49.43
26,84.18,45.07,-0.92,61.4,NA,NA,NA,56,7.92,30.48,0,"a5",27.29,"I",NA,19.39,43.03,"C",49.89
