"id","class","color","vineyard","fixed.acidity","acid.sulfur","volatile.acidity","sulfur.taste","citric.acid","residual.sugar","chlorides","chlor.class","free.sulfur.dioxide","condition","total.sulfur.dioxide","density","pH","acid.taste","sulphates","acidity.variance","alcohol"
1,"medium","red","E",9.5,3.55942714189052,0.59,2.41160535983779,0.44,2.3,0.071,"e2",21,"I1",68,0.9992,3.46,2.67,0.63,0.24,9.5
2,"good","red","C",6.4,3.13112250687432,0.57,1.75244870757051,0.12,2.3,0.12,"g1",25,"I1",36,0.99519,3.47,2.09,0.71,0.24,11.3
3,"good","white","C",6.3,2.89398115954849,0.23,2.29937900751194,0.33,6.9,0.052,"e3",23,"I2",118,0.9938,3.23,2.34,0.46,0.24,10.4
4,"good","red","D",7.2,2.31118937833114,0.37,2.29391640511443,0.32,2,0.062,"i2",15,"S1",28,0.9947,3.23,1.67,0.73,0.24,11.3
5,"medium","white","E",5.9,3.18558611293306,0.44,3.21582128429713,0.33,1.2,0.049,"d2",12,"I1",117,0.99134,3.46,2.51,0.44,0.24,11.5
6,"good","red","C",10.5,3.92150560788215,0.24,2.74697788964703,0.47,2.1,0.066,"i1",6,"I1",24,0.9978,3.15,2.16,0.9,0.24,11
7,"good","white","C",7,3.51500159676519,0.27,3.48625475273165,0.32,6.8,0.047,"d1",47,"S2",193,0.9938,3.23,1.41,0.39,0.24,11.4
8,"good","white","D",8.5,3.78537641090972,0.24,4.54639688571221,0.39,10.4,0.044,"h1",20,"S2",142,0.9974,3.2,1.91,0.53,0.24,10
9,"good","white","A",7.9,2.49869768750536,0.22,3.20444487257726,0.45,14.2,0.038,"f3",53,"S1",141,0.9992,3.03,1.87,0.46,0.24,9.2
10,"good","white","E",6.4,3.00591783944794,0.24,3.1251625225135,0.23,2,0.046,"b2",30,"I1",133,0.9908,3.12,1.99,0.54,0.24,11.4
11,"medium","red","D",7.9,2.3298587499852,0.18,4.58939446689673,0.4,1.8,0.062,"i3",7,"S1",20,0.9941,3.28,2.14,0.7,0.24,11.1
12,"medium","red","B",7.2,3.49933492374397,0.6,2.61493597801728,0.04,2.5,0.076,"f1",18,"I2",88,0.99745,3.53,1.83,0.55,0.24,9.5
13,"medium","red","D",8.6,2.48220307254384,0.37,2.63464425026153,0.65,6.4,0.08,"c2",3,"I2",8,0.99817,3.27,3.11,0.58,0.24,11
14,"good","red","C",7.8,2.87457574473187,0.52,3.13362557834181,0.25,1.9,0.081,"d1",14,"I1",38,0.9984,3.43,1.79,0.65,0.24,9
15,"medium","white","A",5.3,3.15947163229292,0.23,2.24164357231145,0.56,0.9,0.041,"g3",46,"S1",141,0.99119,3.16,1.83,0.62,0.24,9.7
16,"medium","red","B",8.2,2.97241098561343,0.39,2.28555162423057,0.38,1.5,0.058,"h1",10,"S3",29,0.9962,3.26,2.72,0.74,0.24,9.8
17,"good","white","B",6.5,3.35815836482926,0.29,2.90502453941043,0.26,7,0.04,"i1",18,"I1",113,0.99366,3.17,2.41,0.38,0.24,10.2
18,"good","white","B",6.8,2.96223716475374,0.21,2.52465284603877,0.49,14.5,0.06,"b1",50,"I1",170,0.9991,3.55,1.84,0.44,0.24,9.8
19,"medium","white","E",7,2.67863856418952,0.35,3.47684424312668,0.31,1.8,0.069,"e1",15,"I1",162,0.9944,3.18,1.61,0.47,0.24,9.4
20,"good","white","B",6,3.41271538396344,0.27,2.48036464240953,0.26,1.3,0.038,"f1",32,"I1",138,0.99125,3.46,1.6,0.43,0.24,11.1
21,"good","red","E",15,2.51693198032287,0.21,2.72855980660942,0.44,2.2,0.075,"b1",10,"I2",24,1.00005,3.07,1.98,0.84,0.24,9.2
22,"medium","red","B",6.7,2.93016260368953,0.58,4.70416195842527,0.08,1.8,0.097,"g2",15,"S1",65,0.9959,3.28,2.25,0.54,0.24,9.2
23,"good","white","A",6,2.51308747691612,0.2,2.12471675454622,0.32,3,0.031,"i2",26,"I1",118,0.99134,3.38,2.09,0.68,0.24,11.2
24,"good","white","D",6.9,3.93271579399282,0.23,3.45321477313335,0.38,8.3,0.047,"f3",47,"P1",162,0.9954,3.34,2.29,0.52,0.24,10.5
25,"medium","red","C",7.6,2.76120635164468,0.685,2.52605940524688,0.23,2.3,0.111,"f2",20,"S2",84,0.9964,3.21,2.58,0.61,0.24,9.3
26,"medium","red","C",8.4,2.68048252234087,0.65,3.42290947329641,0.6,2.1,0.112,"i3",12,"I1",90,0.9973,3.2,2.38,0.52,0.24,9.2
27,"good","white","B",7,2.62824654166995,0.17,1.60262443831497,0.42,1,0.075,"b2",19,"S1",71,0.99103,3.32,1.28,0.62,0.24,11.4
28,"good","white","E",7.3,3.86684237367236,0.23,1.84909464992143,0.41,14.6,0.048,"c1",73,"I1",223,0.99863,3.16,2.4,0.71,0.24,9.4
29,"medium","white","E",6.4,2.96050717454574,0.31,2.33728480428247,0.26,13.2,0.046,"b3",57,"I2",205,0.9975,3.17,2.09,0.41,0.24,9.6
30,"good","white","A",6.9,2.63075374431671,0.13,1.72534978085661,0.28,13.3,0.05,"b1",47,"P2",132,0.99655,3.34,2.22,0.42,0.24,10.1
31,"medium","white","E",7.5,2.95807059339034,0.305,3.4076931799643,0.4,18.9,0.059,"b3",44,"I1",170,1,2.99,1.59,0.46,0.24,9
32,"medium","white","D",6.4,3.42393517134741,0.28,3.36192676773926,0.45,8.6,0.057,"e1",47,"I1",223,0.99654,3.16,1.45,0.51,0.24,9.1
33,"good","red","A",10.3,3.42813578802033,0.59,2.39048756050192,0.42,2.8,0.09,"e1",35,"S1",73,0.999,3.28,2.11,0.7,0.24,9.5
34,"medium","red","D",10.6,3.09073682458249,0.36,3.24759959751215,0.6,2.2,0.152,"d1",7,"I2",18,0.9986,3.04,2.17,1.06,0.24,9.4
35,"good","white","E",6.2,2.93840820860243,0.32,2.63252075754998,0.16,7,0.045,"g1",30,"I1",136,0.9949,3.18,2.42,0.47,0.24,9.6
36,"good","red","E",7.2,2.10089790318707,0.57,2.90354149872023,0.05,2.3,0.081,"f3",16,"I1",36,0.99564,3.38,2.67,0.6,0.24,10.3
37,"good","white","D",8.1,3.48264166107127,0.26,3.77451373095608,0.27,4.3,0.03,"e1",43,"I1",123,0.99212,3.16,1.71,0.33,0.24,11.2
38,"good","white","D",6.8,2.87648130750611,0.32,3.12137420553066,0.3,3.3,0.029,"c2",15,"I2",80,0.99061,3.33,1.94,0.63,0.24,12.6
39,"poor","red","B",11.6,2.70962087665481,0.47,4.19094845260088,0.44,1.6,0.147,"h1",36,"I1",51,0.99836,3.38,1.92,0.86,0.24,9.9
40,"good","red","B",6.9,2.31241891247659,0.54,3.53011331071699,0.04,3,0.077,"h3",7,"I1",27,0.9987,3.69,2.54,0.91,0.24,9.4
41,"good","white","A",7,3.36273949213853,0.34,2.28166096706046,0.26,10.3,0.041,"c2",51,"I1",166,0.99382,3.08,2.27,0.35,0.24,11.6
42,"good","white","E",8.5,3.17510873955759,0.23,3.42095612515975,0.34,1.3,0.035,"h1",54,"I1",110,0.99176,3.07,1.9,0.55,0.24,11
43,"medium","red","B",7.6,2.6735526092909,0.43,3.08968174184609,0.29,2.1,0.075,"b3",19,"I2",66,0.99718,3.4,1.63,0.64,0.24,9.5
44,"good","white","B",6.3,3.41624135427349,0.26,3.33330655915519,0.42,7.1,0.045,"e1",62,"I2",209,0.99544,3.2,2.36,0.53,0.24,9.5
