"id","class"
4356,"poor"
4357,"good"
4358,"good"
4359,"medium"
4360,"medium"
4361,"good"
4362,"poor"
4363,"poor"
4364,"poor"
4365,"medium"
4366,"good"
4367,"good"
4368,"good"
4369,"good"
4370,"good"
4371,"good"
4372,"good"
4373,"poor"
4374,"good"
4375,"poor"
4376,"good"
4377,"good"
4378,"medium"
4379,"good"
4380,"good"
4381,"good"
4382,"medium"
4383,"excellent"
4384,"good"
4385,"excellent"
4386,"poor"
4387,"good"
4388,"good"
4389,"good"
4390,"medium"
4391,"excellent"
4392,"good"
4393,"poor"
4394,"poor"
4395,"good"
4396,"good"
4397,"good"
4398,"medium"
4399,"medium"
4400,"medium"
4401,"good"
4402,"excellent"
4403,"poor"
4404,"good"
4405,"good"
4406,"excellent"
4407,"medium"
4408,"poor"
4409,"medium"
4410,"good"
4411,"medium"
4412,"poor"
4413,"good"
4414,"good"
4415,"good"
4416,"good"
4417,"medium"
4418,"medium"
4419,"excellent"
4420,"excellent"
4421,"good"
4422,"good"
4423,"good"
4424,"poor"
4425,"good"
4426,"poor"
4427,"excellent"
4428,"medium"
4429,"medium"
4430,"medium"
4431,"good"
4432,"good"
4433,"poor"
4434,"excellent"
4435,"good"
4436,"good"
4437,"good"
4438,"excellent"
4439,"good"
4440,"good"
4441,"poor"
4442,"good"
4443,"poor"
4444,"good"
4445,"poor"
4446,"medium"
4447,"good"
4448,"poor"
4449,"poor"
4450,"medium"
4451,"medium"
4452,"good"
4453,"poor"
4454,"good"
4455,"good"
4456,"medium"
4457,"medium"
4458,"good"
4459,"excellent"
4460,"medium"
4461,"good"
4462,"poor"
4463,"poor"
4464,"excellent"
4465,"good"
4466,"poor"
4467,"good"
4468,"good"
4469,"poor"
4470,"poor"
4471,"poor"
4472,"good"
4473,"good"
4474,"good"
4475,"good"
4476,"good"
4477,"good"
4478,"good"
4479,"good"
4480,"poor"
4481,"poor"
4482,"good"
4483,"medium"
4484,"good"
4485,"poor"
4486,"good"
4487,"poor"
4488,"medium"
4489,"good"
4490,"medium"
4491,"poor"
4492,"good"
4493,"excellent"
4494,"medium"
4495,"medium"
4496,"good"
4497,"good"
4498,"medium"
4499,"excellent"
4500,"poor"
4501,"excellent"
4502,"good"
4503,"good"
4504,"good"
4505,"excellent"
4506,"excellent"
4507,"good"
4508,"good"
4509,"good"
4510,"good"
4511,"medium"
4512,"medium"
4513,"excellent"
4514,"good"
4515,"poor"
4516,"medium"
4517,"medium"
4518,"poor"
4519,"good"
4520,"good"
4521,"good"
4522,"medium"
4523,"poor"
4524,"good"
4525,"excellent"
4526,"poor"
4527,"good"
4528,"poor"
4529,"poor"
4530,"good"
4531,"medium"
4532,"good"
4533,"good"
4534,"poor"
4535,"good"
4536,"poor"
4537,"good"
4538,"excellent"
4539,"good"
4540,"good"
4541,"poor"
4542,"good"
4543,"poor"
4544,"good"
4545,"good"
4546,"good"
4547,"medium"
4548,"medium"
4549,"medium"
4550,"good"
4551,"poor"
4552,"medium"
4553,"medium"
4554,"good"
4555,"medium"
4556,"good"
4557,"medium"
4558,"good"
4559,"medium"
4560,"excellent"
4561,"poor"
4562,"medium"
4563,"good"
4564,"medium"
4565,"poor"
4566,"excellent"
4567,"excellent"
4568,"excellent"
4569,"poor"
4570,"poor"
4571,"medium"
4572,"medium"
4573,"good"
4574,"good"
4575,"medium"
4576,"good"
4577,"poor"
4578,"poor"
4579,"good"
4580,"excellent"
4581,"good"
4582,"poor"
4583,"good"
4584,"good"
4585,"good"
4586,"good"
4587,"good"
4588,"good"
4589,"poor"
4590,"poor"
4591,"poor"
4592,"poor"
4593,"medium"
4594,"medium"
4595,"good"
4596,"medium"
4597,"excellent"
4598,"excellent"
4599,"poor"
4600,"poor"
4601,"good"
4602,"excellent"
4603,"good"
4604,"excellent"
4605,"good"
4606,"medium"
4607,"poor"
4608,"good"
4609,"good"
4610,"good"
4611,"excellent"
4612,"good"
4613,"good"
4614,"excellent"
4615,"good"
4616,"good"
4617,"medium"
4618,"medium"
4619,"good"
4620,"medium"
4621,"good"
4622,"medium"
4623,"good"
4624,"good"
4625,"good"
4626,"good"
4627,"medium"
4628,"good"
4629,"poor"
4630,"good"
4631,"good"
4632,"poor"
4633,"good"
4634,"good"
4635,"good"
4636,"good"
4637,"good"
4638,"medium"
4639,"good"
4640,"good"
4641,"medium"
4642,"good"
4643,"excellent"
4644,"good"
4645,"poor"
4646,"good"
4647,"excellent"
4648,"poor"
4649,"medium"
4650,"good"
4651,"medium"
4652,"poor"
4653,"poor"
4654,"excellent"
4655,"good"
4656,"medium"
4657,"good"
4658,"good"
4659,"good"
4660,"good"
4661,"good"
4662,"good"
4663,"medium"
4664,"excellent"
4665,"good"
4666,"excellent"
4667,"good"
4668,"good"
4669,"excellent"
4670,"good"
4671,"poor"
4672,"good"
4673,"good"
4674,"medium"
4675,"good"
4676,"medium"
4677,"good"
4678,"good"
4679,"poor"
4680,"medium"
4681,"poor"
4682,"good"
4683,"good"
4684,"poor"
4685,"medium"
4686,"medium"
4687,"poor"
4688,"medium"
4689,"poor"
4690,"poor"
4691,"good"
4692,"poor"
4693,"good"
4694,"medium"
4695,"excellent"
4696,"poor"
4697,"medium"
4698,"poor"
4699,"good"
4700,"good"
4701,"poor"
4702,"good"
4703,"poor"
4704,"poor"
4705,"excellent"
4706,"good"
4707,"medium"
4708,"poor"
4709,"good"
4710,"medium"
4711,"excellent"
4712,"poor"
4713,"good"
4714,"medium"
4715,"medium"
4716,"excellent"
4717,"poor"
4718,"good"
4719,"medium"
4720,"good"
4721,"good"
4722,"poor"
4723,"good"
4724,"good"
4725,"good"
4726,"poor"
4727,"good"
4728,"good"
4729,"medium"
4730,"good"
4731,"good"
4732,"medium"
4733,"medium"
4734,"medium"
4735,"good"
4736,"good"
4737,"medium"
4738,"good"
4739,"medium"
4740,"poor"
4741,"good"
4742,"good"
4743,"poor"
4744,"medium"
4745,"good"
4746,"excellent"
4747,"good"
4748,"good"
4749,"good"
4750,"medium"
4751,"poor"
4752,"good"
4753,"good"
4754,"good"
4755,"good"
4756,"poor"
4757,"good"
4758,"excellent"
4759,"poor"
4760,"poor"
4761,"medium"
4762,"good"
4763,"poor"
4764,"medium"
4765,"poor"
4766,"excellent"
4767,"poor"
4768,"medium"
4769,"good"
4770,"good"
4771,"medium"
4772,"excellent"
4773,"medium"
4774,"poor"
4775,"good"
4776,"excellent"
4777,"good"
4778,"excellent"
4779,"poor"
4780,"good"
4781,"good"
4782,"good"
4783,"good"
4784,"good"
4785,"excellent"
4786,"good"
4787,"good"
4788,"poor"
4789,"medium"
4790,"poor"
4791,"excellent"
4792,"poor"
4793,"medium"
4794,"medium"
4795,"good"
4796,"good"
4797,"good"
4798,"good"
4799,"good"
4800,"good"
4801,"excellent"
4802,"good"
4803,"poor"
4804,"good"
4805,"good"
